name	taxonomy_id	taxonomy_lvl	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
Sphingosinithalassobacter sp. CS137	2762748	S	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Liberibacter crescens	1273132	S	17	0.00000	0	0.00000	53	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Oscillibacter sp. NSJ-62	2763056	S	884	0.00021	0	0.00000	206	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bartonella krasnovii	2267275	S	68	0.00002	0	0.00000	0	0.00000	0	0.00000	60	0.00001	0	0.00000	0	0.00000
Campylobacter lanienae	75658	S	0	0.00000	0	0.00000	21	0.00001	0	0.00000	39	0.00001	0	0.00000	0	0.00000
Candidatus Cytomitobacter primus	2066024	S	0	0.00000	0	0.00000	57	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rosistilla carotiformis	2528017	S	0	0.00000	0	0.00000	22	0.00001	0	0.00000	20	0.00000	0	0.00000	0	0.00000
Thiomicrorhabdus sp. G2	2739063	S	0	0.00000	0	0.00000	17	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000
Halothiobacillus neapolitanus	927	S	0	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Haliscomenobacter hydrossis	2350	S	348	0.00008	0	0.00000	137	0.00004	0	0.00000	647	0.00010	0	0.00000	44	0.00001
Xanthomonas campestris	339	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	578	0.00009	0	0.00000	12	0.00000
Acetobacter aceti	435	S	692	0.00017	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Allofrancisella frigidaquae	1085644	S	0	0.00000	11	0.00000	16	0.00000	0	0.00000	35	0.00001	0	0.00000	0	0.00000
Geobacillus thermoleovorans	33941	S	0	0.00000	0	0.00000	151	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Runella slithyformis	106	S	0	0.00000	0	0.00000	25	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium catenulatum	1686	S	525	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	93	0.00002
Paenibacillus sp. BIHB4019	1870819	S	378	0.00009	8083	0.00083	176	0.00005	102	0.00002	0	0.00000	0	0.00000	0	0.00000
Leptospira mayottensis	1137606	S	404	0.00010	0	0.00000	53	0.00002	0	0.00000	0	0.00000	0	0.00000	129	0.00002
Dyella sp. G9	2763498	S	0	0.00000	0	0.00000	21	0.00001	16	0.00000	0	0.00000	0	0.00000	0	0.00000
Choristoneura fumiferana multiple nucleopolyhedrovirus	208973	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	105	0.00064	0	0.00000
Eubacterium sp. NSJ-61	2764325	S	173	0.00004	61	0.00001	1173	0.00034	0	0.00000	80	0.00001	510	0.00312	3320	0.00063
Rhodobaca barguzinensis	441209	S	0	0.00000	193	0.00002	23	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Runella sp. SP2	2268026	S	152	0.00004	0	0.00000	156	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Neorhizobium galegae	399	S	136	0.00003	0	0.00000	128	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Halobacteroides halobius	42422	S	330	0.00008	837	0.00009	1957	0.00056	0	0.00000	95	0.00001	104	0.00064	11	0.00000
Synechococcus sp. WH 8101	59932	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	28	0.00001
Thermovirga lienii	336261	S	22	0.00001	20	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pontibacter actiniarum	323450	S	15	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rathayibacter toxicus	145458	S	27	0.00001	0	0.00000	34	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. M2	646637	S	0	0.00000	0	0.00000	0	0.00000	63	0.00001	0	0.00000	0	0.00000	27	0.00001
Gordonia bronchialis	2054	S	35	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Salinimonas sp. G2-b	2785918	S	0	0.00000	11	0.00000	637	0.00018	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Flavisolibacter tropicus	1492898	S	46	0.00001	0	0.00000	2523	0.00073	0	0.00000	35	0.00001	0	0.00000	0	0.00000
Legionella adelaidensis	45056	S	526	0.00013	0	0.00000	88	0.00003	0	0.00000	293	0.00004	0	0.00000	39	0.00001
Microvirga thermotolerans	2651334	S	286	0.00007	0	0.00000	62	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudomonas syringae group genomosp. 3	251701	S	0	0.00000	0	0.00000	62	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Magnetospirillum gryphiswaldense	55518	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000
Algibacter alginicilyticus	1736674	S	163	0.00004	0	0.00000	303	0.00009	0	0.00000	174	0.00003	0	0.00000	528	0.00010
Dickeya poaceiphila	568768	S	0	0.00000	0	0.00000	215	0.00006	32	0.00001	7398	0.00111	0	0.00000	42	0.00001
Entomomonas sp. F2A	2785331	S	221	0.00005	0	0.00000	93	0.00003	193	0.00004	0	0.00000	0	0.00000	178	0.00003
Peptoclostridium acidaminophilum	1731	S	943	0.00023	162005	0.01664	5349	0.00154	0	0.00000	52	0.00001	0	0.00000	666	0.00013
Amycolatopsis sp. Hca4	2742131	S	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudoalteromonas sp. LC2018020214	2799564	S	42	0.00001	0	0.00000	545	0.00016	0	0.00000	0	0.00000	0	0.00000	129	0.00002
Epilithonimonas vandammei	2487072	S	38	0.00001	0	0.00000	994	0.00029	0	0.00000	0	0.00000	0	0.00000	39	0.00001
Caldicellulosiruptor hydrothermalis	413888	S	68	0.00002	35	0.00000	274	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Mythimna separata entomopoxvirus	1179664	S	10	0.00000	0	0.00000	29	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pelobacter acetylenicus	29542	S	61	0.00001	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudescherichia vulneris	566	S	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Colwellia sp. Arc7-635	2497879	S	55	0.00001	0	0.00000	399	0.00011	0	0.00000	1467	0.00022	0	0.00000	99	0.00002
Lacinutrix sp. 5H-3-7-4	983544	S	169	0.00004	0	0.00000	283	0.00008	0	0.00000	0	0.00000	0	0.00000	404	0.00008
Lactobacillus bombintestini	2419772	S	373	0.00009	0	0.00000	75	0.00002	0	0.00000	26	0.00000	0	0.00000	0	0.00000
Staphylococcus agnetis	985762	S	0	0.00000	0	0.00000	154	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Filifactor alocis	143361	S	285	0.00007	4139	0.00043	1388	0.00040	39	0.00001	0	0.00000	0	0.00000	141	0.00003
Shewanella algae	38313	S	66	0.00002	0	0.00000	76	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Massilia lutea	321985	S	29	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acinetobacter equi	1324350	S	32	0.00001	11	0.00000	59	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bernardetia litoralis	999	S	104	0.00003	0	0.00000	236	0.00007	41	0.00001	19	0.00000	0	0.00000	167	0.00003
Leucobacter sp. HDW9B	2714934	S	10	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Caldicellulosiruptor lactoaceticus	52766	S	0	0.00000	0	0.00000	0	0.00000	52	0.00001	0	0.00000	0	0.00000	0	0.00000
Mycobacterium parmense	185642	S	0	0.00000	0	0.00000	0	0.00000	589	0.00012	0	0.00000	0	0.00000	0	0.00000
Pseudoalteromonas sp. Xi13	2490635	S	1644	0.00040	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bordetella pseudohinzii	1331258	S	0	0.00000	0	0.00000	595	0.00017	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus beijingensis	1126833	S	140	0.00003	0	0.00000	89	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lachnoclostridium phytofermentans	66219	S	2402	0.00058	213	0.00002	6067	0.00174	0	0.00000	12	0.00000	0	0.00000	206	0.00004
Mycoplasma canadense	29554	S	24	0.00001	0	0.00000	28	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterococcus mundtii	53346	S	32	0.00001	749	0.00008	141	0.00004	0	0.00000	90	0.00001	0	0.00000	0	0.00000
Streptomyces sp. 3211	1964449	S	26709	0.00647	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermanaerovibrio velox	108007	S	0	0.00000	0	0.00000	29	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Donacia piscatrix	2675780	S	46	0.00001	0	0.00000	34	0.00001	227	0.00005	0	0.00000	0	0.00000	0	0.00000
Pyruvatibacter mobilis	1712261	S	31	0.00001	0	0.00000	96	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Labrenzia alexandrii	388408	S	33	0.00001	0	0.00000	92	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Mycoplasma pneumoniae	2104	S	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Corynebacterium glucuronolyticum	39791	S	70	0.00002	15	0.00000	0	0.00000	0	0.00000	0	0.00000	94	0.00057	0	0.00000
Xanthomonas oryzae	347	S	36	0.00001	0	0.00000	140	0.00004	0	0.00000	0	0.00000	0	0.00000	111	0.00002
Mycolicibacterium boenickei	146017	S	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Leptospira tipperaryensis	2564040	S	18	0.00000	35	0.00000	73	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Borrelia parkeri	141	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	91	0.00001	0	0.00000	0	0.00000
Abyssicoccus albus	1817405	S	135	0.00003	104	0.00001	584	0.00017	0	0.00000	100	0.00001	0	0.00000	0	0.00000
Bacillus cellulosilyticus	1413	S	130	0.00003	41	0.00000	684	0.00020	97	0.00002	10	0.00000	0	0.00000	53	0.00001
Comamonas sp. NLF-7-7	2597701	S	39	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Puumala orthohantavirus	1980486	S	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Campylobacter lari	201	S	847	0.00021	0	0.00000	1006	0.00029	124	0.00002	15806	0.00236	112	0.00068	895	0.00017
Carnobacterium maltaromaticum	2751	S	110	0.00003	7488	0.00077	876	0.00025	57	0.00001	129	0.00002	0	0.00000	0	0.00000
[Ruminococcus] gnavus	33038	S	584	0.00014	0	0.00000	2252	0.00065	23	0.00000	0	0.00000	0	0.00000	0	0.00000
Intestinibaculum porci	2487118	S	538	0.00013	0	0.00000	551	0.00016	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Entomomonas moraniae	2213226	S	120	0.00003	0	0.00000	61	0.00002	0	0.00000	12668	0.00189	0	0.00000	10	0.00000
Candidatus Ruthia magnifica	386487	S	101	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ehrlichia sp. HF	391036	S	74	0.00002	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000
Leptolyngbya sp. NIES-3755	1752064	S	0	0.00000	48	0.00000	0	0.00000	0	0.00000	39	0.00001	0	0.00000	16	0.00000
Prevotella ruminicola	839	S	10	0.00000	0	0.00000	25	0.00001	0	0.00000	10	0.00000	0	0.00000	0	0.00000
Alteromonas pelagimontana	1858656	S	16	0.00000	0	0.00000	34	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Caloranaerobacter azorensis	116090	S	1553	0.00038	28	0.00000	2170	0.00062	151	0.00003	34	0.00001	93	0.00057	30442	0.00580
Rhodococcus sp. AQ5-07	2054902	S	197	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cytophaga hutchinsonii	985	S	43	0.00001	0	0.00000	214	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Corynebacterium sp. zg-320	2768834	S	30	0.00001	86	0.00001	11	0.00000	687	0.00014	0	0.00000	0	0.00000	0	0.00000
Cellulosilyticum lentocellum	29360	S	106	0.00003	64	0.00001	1137	0.00033	37	0.00001	2429	0.00036	0	0.00000	2271	0.00043
Streptomyces sp. ICC1	2099583	S	0	0.00000	0	0.00000	60	0.00002	452	0.00009	1004	0.00015	146	0.00089	30	0.00001
Paraglaciecola sp. L3A3	2686358	S	46	0.00001	0	0.00000	148	0.00004	0	0.00000	0	0.00000	0	0.00000	71	0.00001
Shewanella chilikensis	558541	S	0	0.00000	63	0.00001	0	0.00000	22	0.00000	0	0.00000	0	0.00000	220	0.00004
Mariniflexile sp. TRM1-10	2027857	S	0	0.00000	0	0.00000	80	0.00002	101	0.00002	0	0.00000	0	0.00000	20	0.00000
Nonlabens dokdonensis	328515	S	77	0.00002	0	0.00000	197	0.00006	0	0.00000	0	0.00000	0	0.00000	26	0.00000
Bradyrhizobium erythrophlei	1437360	S	0	0.00000	65	0.00001	40	0.00001	0	0.00000	26	0.00000	0	0.00000	0	0.00000
Moumouvirus	985782	S	0	0.00000	0	0.00000	12	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000
Microbulbifer sp. YPW1	2745199	S	0	0.00000	0	0.00000	373	0.00011	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermoanaerobacterium sp. RBIITD	1550240	S	1971	0.00048	94	0.00001	3720	0.00107	96	0.00002	41	0.00001	0	0.00000	1764	0.00034
Neisseria sicca	490	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	32	0.00020	0	0.00000
Christensenella minuta	626937	S	49	0.00001	85	0.00001	745	0.00021	0	0.00000	14	0.00000	0	0.00000	62	0.00001
Staphylococcus piscifermentans	70258	S	29	0.00001	0	0.00000	189	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio harveyi	669	S	227	0.00005	0	0.00000	349	0.00010	0	0.00000	32	0.00000	0	0.00000	0	0.00000
Photorhabdus laumondii	2218628	S	76	0.00002	20	0.00000	25	0.00001	0	0.00000	0	0.00000	0	0.00000	16	0.00000
Psychrobacter urativorans	45610	S	60	0.00001	0	0.00000	135	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Blattabacterium sp. (Nauphoeta cinerea)	1316444	S	0	0.00000	0	0.00000	39	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Alcanivorax sp. N3-2A	2014542	S	30	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Campylobacter cuniculorum	374106	S	48	0.00001	20	0.00000	89	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodococcus ruber	1830	S	0	0.00000	0	0.00000	143	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces lunaelactis	1535768	S	0	0.00000	0	0.00000	40	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptococcus pseudopneumoniae	257758	S	0	0.00000	0	0.00000	53	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacillus sp. KH172YL63	2709784	S	0	0.00000	0	0.00000	186	0.00005	0	0.00000	40	0.00001	0	0.00000	162	0.00003
Propionibacterium virus PHL152M00	1982295	S	542	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acidovorax carolinensis	553814	S	0	0.00000	0	0.00000	19	0.00001	20	0.00000	0	0.00000	0	0.00000	0	0.00000
Frigoribacterium sp. NBH87	2596916	S	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Capnocytophaga sputigena	1019	S	45	0.00001	0	0.00000	22	0.00001	0	0.00000	41	0.00001	0	0.00000	18	0.00000
Owenweeksia hongkongensis	253245	S	76	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Nitrospira sp. KM1	1936990	S	0	0.00000	0	0.00000	86	0.00002	0	0.00000	43	0.00001	0	0.00000	0	0.00000
Enterococcus faecium	1352	S	407	0.00010	0	0.00000	781	0.00022	164	0.00003	26	0.00000	0	0.00000	1428	0.00027
Rouxiella badensis	1646377	S	0	0.00000	0	0.00000	76	0.00002	0	0.00000	38	0.00001	0	0.00000	0	0.00000
Cylindrospermum stagnale	142864	S	146	0.00004	0	0.00000	512	0.00015	0	0.00000	0	0.00000	20	0.00012	0	0.00000
Cellvibrio sp. PSBB023	1945512	S	0	0.00000	14	0.00000	874	0.00025	0	0.00000	0	0.00000	0	0.00000	41	0.00001
Propionibacterium virus Procrass1	1982304	S	324	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacillus haynesii	1925021	S	13	0.00000	0	0.00000	38	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Arcobacter defluvii	873191	S	424	0.00010	0	0.00000	3173	0.00091	0	0.00000	0	0.00000	0	0.00000	65	0.00001
Collimonas fungivorans	158899	S	11	0.00000	0	0.00000	60	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bartonella vinsonii	33047	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	130	0.00002	0	0.00000	0	0.00000
Streptobacillus moniliformis	34105	S	99	0.00002	0	0.00000	209	0.00006	815	0.00016	10	0.00000	0	0.00000	23	0.00000
Saliniradius amylolyticus	2183582	S	0	0.00000	0	0.00000	35	0.00001	0	0.00000	0	0.00000	0	0.00000	67	0.00001
Limnobacter sp. SAORIC-580	2732163	S	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1849	0.00035
Alicyclobacillus sp. SO9	2665646	S	14	0.00000	0	0.00000	108	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Companilactobacillus alimentarius	1602	S	0	0.00000	0	0.00000	265	0.00008	0	0.00000	142	0.00002	0	0.00000	0	0.00000
Candidatus Nitrospira inopinata	1715989	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00000
Gloeothece citriformis	2546356	S	45	0.00001	0	0.00000	97	0.00003	0	0.00000	109	0.00002	47	0.00029	18	0.00000
Corynebacterium vitaeruminis	38305	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	575	0.00011
Pseudomonas sp. LPH1	1898684	S	0	0.00000	0	0.00000	15	0.00000	0	0.00000	2765	0.00041	0	0.00000	0	0.00000
Lactobacillus saerimneri	228229	S	0	0.00000	0	0.00000	21	0.00001	0	0.00000	0	0.00000	0	0.00000	191	0.00004
Alicyclobacillus acidocaldarius	405212	S	75	0.00002	0	0.00000	69	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Caldicellulosiruptor obsidiansis	717609	S	61	0.00001	0	0.00000	1612	0.00046	29	0.00001	0	0.00000	166	0.00101	70	0.00001
Clostridium septicum	1504	S	1562	0.00038	182	0.00002	7631	0.00219	625	0.00013	7413	0.00111	225	0.00137	2448	0.00047
Proteus phage vB_PmiM_Pm5461	1636250	S	0	0.00000	0	0.00000	22	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Frondihabitans sp. PAMC 28766	1795630	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	17	0.00000
